Number	labels	theta	radius	X	Y	Z	sph_theta		sph_phi		sph_radius	type	urchan
1	AFFz:GND	0.299	0.253	69.6	-0.363	68.2	-0.299	44.4		97.4		1	
2	Fp1	-17.9	0.456	94.9	30.7	14	17.9	8			101		2
3	Fpz	0.0965	0.44	98.3	-0.165	18.6	-0.0965		10.7		100		3
4	Fp2	18.1	0.456	96.4	-31.5	14.1	-18.1		7.9		102		4
5	F7	-54.9	0.489	52	74.2	3.09	54.9		1.95		90.7		5
6	F3	-45.5	0.292	52	52.9	56.7	45.5		37.4		93.3		6
7	Fz	0.465	0.186	52.4	-0.426	79.2	-0.465		56.5		95		7
8	F4	46	0.3	53.1	-54.9	55.4	-46		36		94.4		8
9	F8	54.8	0.49	53.6	-76	2.91	-54.8		1.79		93.1		9
10	FC5	-77.1	0.378	18.5	80.9	33.5	77.1	22		89.5		10	
11	FC1	-66.4	0.13	15.1	34.7	87.3	66.4		66.6		95.1		11
12	FC2	66.1	0.136	15.8	-35.8	85.8	-66.1		65.5		94.3		12
13	FC6	76.7	0.383	19.9	-84	33.3	-76.7		21.1		92.5		13
14	M1	-112	0.695	-37.1	89.8	-68.3	112	-35.1		119		14	
15	T7	-97.6	0.522	-11.7	87.4	-6.17	97.6	-4		88	0.4	15	
16	C3	-109	0.264	-22.8	67.2	64.9	109		42.4		96.1		16
17	Cz	179	0.0879	-27.5	-0.537	96.9	-179		74.2		101		17
18	C4	108	0.27	-21.9	-69.1	64	-108		41.4		96.6		18
19	T8	96.9	0.522	-10.6	-88.2	-6.27	-96.9	-4.04		89		19	
20	M2	113	0.699	-36.9	-88.8	-69.2	-113	-35.8		118		20	
21	CP5	-123	0.418	-53.1	82.8	26	123		14.8		102		21
22	CP1	-151	0.236	-66.8	37.1	83.7	151		47.6		113		22
23	CP2	149	0.238	-66.3	-39.9	83.6	-149		47.2		114		23
24	CP6	121	0.417	-52.4	-86.2	26.7	-121		14.9		104		24
25	P7	-135	0.536	-74.9	75.6	-12	135	-6	42	10	7	25	
26	P3	-149	0.381	-92.6	55.1	42.5	149		21.5		116		26
27	Pz	180	0.313	-101	-0.444	66.9	-180		33.6		121		27
28	P4	148	0.381	-92.7	-57.3	42.6	-148		21.4		117		28
29	P8	134	0.536	-74.9	-76.2	-12.2	-134	-6.49		108		29	
30	POz	180	0.418	-116	-0.303	30.7	-180		14.8		120		30
31	O1	-165	0.529	-119	30.8	-11	165	-5.1	4	123		31	
32	Oz	180	0.519	-123	-0.161	-7.28	-180	-3.4		123		32	
33	O2	165	0.529	-119	-31.2	-11.1	-165	-5.17		123		33	
34	AF7	-35.9	0.472	79.3	57.4	8.56	35.9	5		9	8.3	3	4
35	AF3	-23.3	0.364	82.4	35.5	41	23.3		24.5		98.7		35
36	AF4	24.4	0.364	83.1	-37.7	41.4	-24.4		24.4		100		36
37	AF8	35.8	0.473	80.3	-57.9	8.54	-35.8		4.93		99.4		37
38	F5	-52.4	0.388	52	67.4	31.3	52.4		20.2		90.7		38
39	F1	-28.7	0.215	52.1	28.5	74.1	28.7		51.3		95		39
40	F2	30.4	0.221	52.7	-31	73.2	-30.4		50.1		95.4		40
41	F6	52.7	0.393	53.4	-70	30.8	-52.7		19.3		93.2		41
42	FC3	-75.4	0.252	16.5	63.1	64.4	75.4		44.6		91.7		42
43	FCz	1.99	0.0491	14.8	-0.516	95.5	-1.99		81.2		96.6		43
44	FC4	74.8	0.259	17.6	-64.7	63.4	-74.8		43.4		92.3		44
45	C5	-102	0.389	-17.6	84.9	31.6	102	20		92	3	45	
46	C1	-125	0.151	-26.7	38	90.8	125		62.9		102		46
47	C2	123	0.156	-26	-39.8	89.2	-123		61.9		101		47
48	C6	101	0.391	-16.6	-86.3	31.4	-101		19.7		93.4		48
49	CP3	-133	0.315	-61	65.7	58.9	133		33.3		107		49
50	CPz	180	0.206	-68.2	-0.535	90.2	-180		52.9		113		50
51	CP4	132	0.318	-60.1	-68	58.5	-132		32.8		108		51
52	P5	-140	0.451	-84.3	70.5	17	140		8.82		111		52
53	P1	-163	0.331	-98.3	29.6	60.2	163		30.4		119		53
54	P2	162	0.331	-98.6	-32.1	60.8	-162		30.4		120		54
55	P6	139	0.452	-84.3	-72.2	16.9	-139		8.66		112		55
56	PO5	-155	0.487	-107	50.3	4.87	155		2.36		119		56
57	PO3	-161	0.446	-112	39.6	20.4	161		9.7		121		57
58	PO4	161	0.448	-112	-38.3	19.4	-161		9.29		120		58
59	PO6	155	0.489	-108	-49.5	4.09	-155		1.98		118		59
60	FT7	-75.9	0.507	20.9	83.6	-1.84	75.9	-1.22		86.2		60	
61	FT8	75.3	0.507	22.4	-85	-1.97	-75.3	-1.2	9	87	9	61	
62	TP7	-117	0.532	-44.5	87.9	-10.1	117	-5.85		99.1		62	
63	TP8	117	0.533	-43.5	-87	-9.97	-117	-5.85		97.8		63	
64	PO7	-151	0.534	-101	57.2	-12.6	151	-6.18		117		64	
65	PO8	150	0.535	-102	-58.2	-12.9	-150	-6.25		118		65	
